PARLAMENTARIO_ID;NOMBRE_COMPLETO;VIGENTE;FECHA_NACIMIENTO;GENERO;SITIOS_WEB;CAMARA_ACTUAL;CAMARA;INICIO;FINAL;PARTIDO_POLITICO;UNIDAD_QUE_REPRESENTA
5226;Mauricio Ojeda Rebolledo;1;1982-01-19;M;;C.Diputados;C. Diputados;2022;2026;;23er Distrito
3735;Matias Walker Prieto;1;1973-07-19;M;;Senado;Senado;2022;2030;Partido Demócratas Chile;5ª Circunscripción
1894;Gaspar Rivas Sanchez;1;1978-05-17;M;;C.Diputados;C. Diputados;2022;2026;;6° Distrito
5187;Matias Ramirez Pascal;1;1984-11-14;M;;C.Diputados;C. Diputados;2022;2026;Partido Comunista de Chile;2° Distrito
4601;Gaston Saavedra Chandia;1;1955-11-22;M;;Senado;Senado;2022;2030;Partido Socialista de Chile;10ª Circunscripción
4600;Francesca Munoz Gonzalez;1;1980-03-01;F;;C.Diputados;C.Diputados;2022;2026;Partido Social Cristiano;20° Distrito
5262;Marta Bravo Salinas;1;1976-02-25;F;;C.Diputados;C. Diputados;2022;2026;Unión Demócrata Independiente;19° Distrito
5256;Marlene Perez Cartes;1;1973-05-10;F;;C.Diputados;C. Diputados;2022;2026;;20° Distrito
5244;Flor Weisse Novoa;1;1960-03-27;F;;C.Diputados;C. Diputados;2022;2026;Unión Demócrata Independiente;21° Distrito
5184;Enrique Lee Flores;1;1967-12-16;M;;C.Diputados;C. Diputados;2022;2026;;1er Distrito
2128;Enrique Van Rysselberghe Herrera;1;1976-09-17;M;;Senado;Senado;2022;2030;Partido Unión Demócrata Independiente;10ª Circunscripción
5303;Paulina Vodanovic Rojas;1;1971-09-20;F;;Senado;Senado;2018;2026;Partido Socialista de Chile;9ª Circunscripción
4542;Paulina Nunez Urrutia;1;1982-12-30;F;;Senado;Senado;2022;2030;Renovación Nacional;3a Circunscripción
5269;Paula Labra Besserer;1;1987-05-04;F;;C.Diputados;C. Diputados;2022;2026;;18° Distrito
5253;Eric Aedo Jeldres;1;1968-07-13;M;;C.Diputados;C. Diputados;2022;2026;Partido Demócrata Cristiano;20° Distrito
5225;Ericka Nanco Vasquez;1;1992-03-20;F;;C.Diputados;C. Diputados;2022;2026;Partido Frente Amplio;23er Distrito
4621;Erika Olivera De La Fuente;1;1976-01-04;F;;C.Diputados;C. Diputados;2022;2026;Partido Demócratas Chile;9º Distrito
5198;Marco Sulantay Olivares;1;1973-03-31;M;;C.Diputados;C. Diputados;2022;2026;Partido Unión Demócrata Independiente;5° Distrito
4583;Patricio Rosas Barrientos;1;1968-05-06;M;;C.Diputados;C. Diputados;2022;2026;Partido Frente Amplio;24º Distrito
4564;Hugo Rey Martinez;1;1973-12-06;M;;C.Diputados;C. Diputados;2022;2026;Partido Renovación Nacional;17 ° Distrito
4609;Marcos Ilabaca Cerda;1;1970-10-05;M;;C.Diputados;C. Diputados;2022;2026;Partido Socialista de Chile;24º Distrito
5220;Hotuiti Teao Drago;1;1977-08-01;M;;C.Diputados;C. Diputados;2022;2026;;7° Distrito
4599;Esteban Velasquez Nunez;1;1962-12-26;M;;Senado;Senado;2022;2030;Federación Regionalista Verde Social;3a Circunscripción
4628;Pamela Jiles Moreno;1;1960-11-30;F;;C.Diputados;C. Diputados;2022;2026;Partido Humanista;12° Distrito
5207;Hernan Palma Perez;1;1958-11-03;M;;C.Diputados;C. Diputados;2022;2026;;12° Distrito
5195;Fabiola Campillai Rojas;1;1983-05-17;F;;Senado;Senado;2022;2030;;7ª Circunscripción
5233;Henry Leal Bizama;1;1972-09-16;M;;C.Diputados;C. Diputados;2022;2026;Partido Unión Demócrata Independiente;23er Distrito
5275;Helia Molina Milman;1;1947-04-02;F;;C.Diputados;C. Diputados;2022;2026;Partido Por la Democracia;10° Distrito
4603;Harry Jurgensen Rundshagen;1;1968-09-03;M;;C.Diputados;C. Diputados;2022;2026;;25º Distrito
5260;Felipe Camano Cardenas;1;1991-08-21;M;;C.Diputados;C. Diputados;2022;2026;;19° Distrito
5257;Felipe Donoso Castro;1;1982-12-12;M;;C.Diputados;C. Diputados;2022;2026;Partido Unión Demócrata Independiente;17° Distrito
4030;Felipe Kast Sommerhoff;1;1977-06-09;M;;Senado;Senado;2018;2026;Partido Evolución Política (Evópoli);11° Circunscripción
4623;Gustavo Sanhueza Duenas;1;1966-12-10;M;;Senado;Senado;2022;2030;Partido Unión Demócrata Independiente;16ª Circunscripción
5213;Fernando Borquez Montecinos;1;1968-06-06;M;;C.Diputados;C. Diputados;2022;2026;Unión Demócrata Independiente;26° Distrito
5270;Gustavo Benavente Vergara;1;1966-08-13;M;;C.Diputados;C. Diputados;2022;2026;Partido Unión Demócrata Independiente;18° Distrito
4570;Guillermo Ramirez Diez;1;1979-04-16;M;;C.Diputados;C. Diputados;2022;2026;Partido Unión Demócrata Independiente;11° Distrito
1438;Fidel Espinoza Sandoval;1;1970-01-24;M;;Senado;Senado;2022;2030;Partido Socialista de Chile;13ª Circunscripción
4578;Marisela Santibanez Novoa;1;1975-04-24;F;;C.Diputados;C. Diputados;2022;2026;;14° Distrito
4567;Jorge Duran Espinoza;1;1980-12-17;M;;C.Diputados;C. Diputados;2022;2026;Partido Renovación Nacional;9º Distrito
1482;Gaston Von Muhlenbrock Zamora;1;1954-12-26;M;;C.Diputados;C. Diputados;2022;2026;Partido Unión Demócrata Independiente;24° Distrito
4546;Andres Celis Montt;1;1975-04-08;M;;C.Diputados;C. Diputados;2022;2026;Partido Renovación Nacional;7º Distrito
5211;Ana Maria Gazmuri Vieira;1;1966-01-22;F;;C.Diputados;C. Diputados;2022;2026;Partido Acción Humanista;12° Distrito
